q0,qn,qpof,qdpo,p0,pmin,alpha,beta,resistiance,viscosity,diffusion,R,r ,themal,rotation,growth
0.7,3.2,1,4,0.3,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00637
0.7,3.2,1,4,0.4,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00626
0.7,3.2,1,4,0.5,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00621
0.7,3.2,1,4,0.6,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.0062
0.7,3.2,1,4,0.7,0,-0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.006225
0.7,3.2,1,4,0,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00907
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00702
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00662
0.7,3.2,1,4,0.3,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.0065
0.7,3.2,1,4,0.4,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00652
0.7,3.2,1,4,0.5,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00662
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00678
0.7,3.2,1,4,0.7,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.01,0.00699
0.7,3.2,1,4,0,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.001,0.01002
0.7,3.2,1,4,0.04,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.001,0.00827
0.7,3.2,1,4,0.08,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.001,0.00758
0.7,3.2,1,4,0.12,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.001,0.00718
0.7,3.2,1,4,0.16,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.001,0.00695
0.7,3.2,1,4,0.24,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.001,0.00672
0.7,3.2,1,4,0.3,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.001,0.00664
0.7,3.2,1,4,0.4,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.001,0.00663
0.7,3.2,1,4,0.5,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.001,0.00672
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.001,0.00686
0.7,3.2,1,4,0,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.02,0.009065
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.02,0.00613
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.02,0.00609
0.7,3.2,1,4,0.3,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.02,0.00611
0.7,3.2,1,4,0.4,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.02,0.0062
0.7,3.2,1,4,0.5,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.02,0.00634
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.02,0.00653
0.7,3.2,1,4,0.7,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.02,0.00677
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.05,0.00262
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.05,0.00358
0.7,3.2,1,4,0.3,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.05,0.00409
0.7,3.2,1,4,0.4,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.05,0.00446
0.7,3.2,1,4,0.5,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.05,0.00478
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0.05,0.0051
